12/24/2024   23:41:19  PM|STALLED/HAZARD VEH|MEHEULA PKWY / AINAMAKUA DR|MILILANI|District 2
12/24/2024   23:34:37  PM|SIMPLE ASSAULT|1XX  KAIULANI AVE|WAIKIKI|District 6
12/24/2024   23:24:41  PM|FIREWORKS VIOLATION|MANAGERS DR / HIAPO ST|WAIPAHU|District 3
12/24/2024   22:43:12  PM|FIREWORKS VIOLATION|9410XX  LUMIKULA ST|WAIPIO|District 3
12/24/2024   22:40:21  PM|MISC PUB|9XX  ALA LEHUA|SALT LAKE|District 5
12/24/2024   22:28:48  PM|VEH TOWED|4XX  MAGELLAN AVE|PUNCHBOWL|District 1
12/24/2024   22:21:23  PM|TRESPASS WARN|2XX  LEWERS ST|WAIKIKI|District 6
12/24/2024   21:55:37  PM|SIMPLE ASSAULT|9121XX  OLD FORT WEAVER RD|EWA BEACH|District 8
12/24/2024   21:52:59  PM|BURGLARY|9410XX  MEAHALE PL|WAIPIO|District 3
12/24/2024   21:47:43  PM|VEH TOWED|33XX  KAMAAINA DR|NUUANU|District 5
12/24/2024   21:40:33  PM|FIREWORKS VIOLATION|6XX  HOOHALE ST|PEARL CITY|District 3
12/24/2024   21:19:31  PM|FAMILY OFF/NEG|9403XX  HENE ST|WAIPAHU|District 3
12/24/2024   17:53:50  PM|THEFT|47XX  BOUGAINVILLE DR|MOANALUA|District 5
