03/19/2025   06:58:27  AM|NUISANCE COMPLAINT|9407XX  FARRINGTON HWY|WAIPAHU|District 3
03/19/2025   06:44:37  AM|WARRANT ARREST|8506XX  FARRINGTON HWY|WAIANAE|District 8
03/19/2025   06:39:01  AM|AGGRAVATED ASSAULT|9121XX  FORT WEAVER RD|EWA BEACH|District 8
03/19/2025   06:12:49  AM|FOLLOW UP|N KING ST / MAUNAKEA ST|DOWNTOWN|District 1
03/19/2025   06:11:20  AM|LOST PROPERTY|7XX  ISENBERG ST|MCCULLY|District 7
03/19/2025   06:09:54  AM|PROPERTY DAMAGE|9XX  HIND IUKA DR|AINA HAINA|District 7
03/19/2025   06:08:20  AM|LOST PROPERTY|4701XX  KAM HWY|KANEOHE|District 4
03/19/2025   06:07:02  AM|MISSING PERSON|7XX  S KING ST|HONOLULU|District 1
03/19/2025   05:56:58  AM|PROPERTY DAMAGE|N PAUAHI ST / NUUANU AVE|DOWNTOWN|District 1
03/19/2025   05:56:27  AM|FIRE CALL|11XX  BANYAN ST|KALIHI|District 5
03/19/2025   05:28:02  AM|THREATENING|28XX  ALA ILIMA|SALT LAKE|District 5
03/19/2025   04:31:56  AM|FIRE CALL|35XX  MANOA RD|MANOA|District 7
