04/03/2025   03:10:37  AM|TRAFFIC STOP|HOBRON LN / ALA MOANA BLVD|WAIKIKI|District 6
04/03/2025   02:48:10  AM|MVC|XX  H1E FWY|KAPOLEI|District 8
04/03/2025   02:42:07  AM|UNATTENDED DEATH|9110XX  KUHINA ST|EWA BEACH|District 8
04/03/2025   02:24:03  AM|AUTO THEFT RECOVERY|XX  ONEAWA ST|KAILUA|District 4
04/03/2025   02:22:01  AM|AUTO THEFT RECOVERY|NUUANU AVE / N PAUAHI ST|DOWNTOWN|District 1
04/03/2025   02:09:42  AM|MISC PUB|13XX  MAKIKI ST|HONOLULU|District 1
04/03/2025   00:46:26  AM|MISC CRIME OFFENSE|2XX  N KING ST|DOWNTOWN|District 1
04/03/2025   00:32:28  AM|DUI|KAPIOLANI BLVD / KAHEKA ST|HONOLULU|District 1
04/03/2025   00:28:45  AM|FAMILY OFF/NEG|8721XX  FARRINGTON HWY|NANAKULI|District 8
04/02/2025   23:25:00  PM|DUI|12XX  PENSACOLA ST|HONOLULU|District 1
04/02/2025   22:39:35  PM|DUI|KAPIOLANI BLVD / WARD AVE|HONOLULU|District 1
04/02/2025   17:34:20  PM|WARRANT ARREST|23XX  KAM HWY|KALIHI|District 5
