11/08/2023   19:43:12  PM|NUISANCE COMPLAINT|6802XX  MAHINAAI ST|MOKULEIA|District 2
11/08/2023   19:40:58  PM|MISC SERVICE CALL|20XX  KALIA RD|WAIKIKI|District 6
11/08/2023   19:39:40  PM|ORDER VIOLATION|55XX  OPIHI ST|AINA HAINA|District 7
11/08/2023   19:38:37  PM|MISC SERVICE CALL|12XX  ALA KAPUNA|MOANALUA V|District 5
11/08/2023   19:36:36  PM|PROPERTY DAMAGE|BACHELOT ST / N JUDD ST|NUUANU|District 5
11/08/2023   19:36:11  PM|MISC SERVICE CALL|31XX  KAIMUKI AVE|KAIMUKI|District 7
11/08/2023   19:31:52  PM|FOLLOW UP|16XX  S BERETANIA ST|MCCULLY|District 7
11/08/2023   19:30:17  PM|MISC PUB|46XX  KAPOLEI PKWY|KAPOLEI|District 8
11/08/2023   19:29:49  PM|PARKING VIOLATION|7XX  WAILEPO PL|KAILUA|District 4
11/08/2023   19:26:39  PM|MVC|7XX  PUNCHBOWL ST|HONOLULU|District 1
11/08/2023   19:24:42  PM|TRESPASS WARN|9110XX  KEAUNUI DR|EWA BEACH|District 8
11/08/2023   19:20:45  PM|MISC PUB|KAHUAPAANI ST / SALT LAKE BLVD|AIEA|District 3
11/08/2023   19:08:26  PM|MISC PUB|9409XX  KAUOLU PL|WAIPAHU|District 3
11/08/2023   19:07:01  PM|PARKING VIOLATION|TUSITALA ST / LILIUOKALANI AVE|WAIKIKI|District 6
11/08/2023   19:06:18  PM|TRAFFIC COMPLAINT|22XX  PALOLO AVE|KAIMUKI|District 7
11/08/2023   18:57:40  PM|HARASSMENT|3XX  N JUDD ST|NUUANU|District 5
11/08/2023   18:49:14  PM|FAMILY OFF/NEG|XX  BAY ST|HAWAII KAI|District 7
11/08/2023   18:17:09  PM|WARRANT ARREST|3XX  KAM HWY|PEARL CITY|District 3
11/08/2023   18:13:48  PM|MISC PUB|FARRINGTON HWY / KAHUALII ST|WAIPAHU|District 3
11/08/2023   18:12:39  PM|TRESPASS WARN|13XX  LUNALILO HOME RD|HAWAII KAI|District 7
11/08/2023   17:19:40  PM|UNATTENDED DEATH|10XX  WAKEA ST|KAPOLEI|District 8
11/08/2023   17:15:01  PM|MISC PUB|9101XX  PAPIPI RD|EWA BEACH|District 8
11/08/2023   17:05:25  PM|MISC SERVICE CALL|8405XX  KILI DR|MAKAHA|District 8
11/08/2023   10:50:27  AM|FOLLOW UP|8902XX  FARRINGTON HWY|NANAKULI|District 8
