09/23/2024   20:28:46  PM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
09/23/2024   20:28:26  PM|MVC|9403XX  PAIWA ST|WAIPAHU|District 3
09/23/2024   20:22:02  PM|ICF/SCF|9414XX  KAHULI ST|WAIPIO|District 3
09/23/2024   20:21:52  PM|VEH TOWED|5903XX  KAM HWY|SUNSET|District 2
09/23/2024   20:19:52  PM|AUTO THEFT RECOVERY|30XX  WAIALAE AVE|KAIMUKI|District 7
09/23/2024   20:19:18  PM|MVC|17XX  S KING ST|MCCULLY|District 7
09/23/2024   20:17:55  PM|MISC SERVICE CALL|9403XX  HOKUAHIAHI ST|MILILANI|District 2
09/23/2024   20:08:41  PM|MISC SERVICE CALL|3XX  KAPAHULU AVE|WAIKIKI|District 6
09/23/2024   20:02:13  PM|SIMPLE ASSAULT|9113XX  KARAYAN ST|EWA BEACH|District 8
09/23/2024   20:01:49  PM|AGGRAVATED ASSAULT|9900XX  KAAMILO ST|AIEA|District 3
09/23/2024   19:50:34  PM|MISC SERVICE CALL|4XX  PACIFIC ST|KALIHI|District 5
09/23/2024   19:34:13  PM|MVC VEH TOWED|N NIMITZ HWY / ALAKAWA ST|KALIHI|District 5
09/23/2024   19:30:15  PM|THEFT|19XX  KALAKAUA AVE|WAIKIKI|District 6
09/23/2024   19:13:56  PM|MVC|KAM HWY / WAIHAU ST|MILILANI|District 2
09/23/2024   17:41:42  PM|FAMILY OFF/NEG|24XX  PRINCE EDWARD ST|WAIKIKI|District 6
09/23/2024   17:20:43  PM|UNATTENDED DEATH|5XX  KANIAHE ST|WAHIAWA|District 2
09/23/2024   17:09:36  PM|UNATTENDED DEATH|9511XX  MAKAIKAI ST|MILILANI|District 2
