09/30/2024   22:54:56  PM|TRAFFIC STOP|KULUKEOE ST / KAPUNAHALA RD|KANEOHE|District 4
09/30/2024   22:51:29  PM|MEDICAL ASSIST|15XX  ALA MOANA BLVD|ALA MOANA|District 1
09/30/2024   22:51:18  PM|MISC SERVICE CALL|11XX  HOOKAHI ST|PEARL CITY|District 3
09/30/2024   22:47:31  PM|MISC SERVICE CALL|21XX  ALGAROBA ST|MCCULLY|District 7
09/30/2024   22:32:31  PM|VEH TOWED|LAKOLOA PL / KILOHI ST|KALIHI|District 5
09/30/2024   22:26:17  PM|WARRANT ARREST|7XX  MCNEILL ST|KALIHI|District 5
09/30/2024   21:50:51  PM|MISC PUB|20XX  KALIA RD|WAIKIKI|District 6
09/30/2024   21:34:43  PM|RECKLESS ENDANGERING|2XX  KAIULANI AVE|WAIKIKI|District 6
09/30/2024   20:21:40  PM|WARRANT ARREST|WAIPIO POINT ACC RD / CANE HAUL RD|WAIPAHU|District 3
09/30/2024   19:48:10  PM|MISC CRIME OFFENSE|25XX  KALAKAUA AVE|WAIKIKI|District 6
09/30/2024   18:22:57  PM|UEMV|ALA MOANA PARK DR / KAMAKEE ST|ALA MOANA|District 1
09/30/2024   17:16:01  PM|UNATTENDED DEATH|13XX  PUNCHBOWL ST|HONOLULU|District 1
