11/21/2024   20:11:51  PM|MEDICAL ASSIST|4XX  KIHAPAI ST|KAILUA|District 4
11/21/2024   20:02:36  PM|MVC|8XX  S BERETANIA ST|HONOLULU|District 1
11/21/2024   19:59:00  PM|VEH TOWED|4XX  N SCHOOL ST|NUUANU|District 5
11/21/2024   19:57:25  PM|MVC|ALA WAI BLVD / KEONIANA ST|WAIKIKI|District 6
11/21/2024   19:56:40  PM|TRESPASS WARN|10XX  S BERETANIA ST|HONOLULU|District 1
11/21/2024   19:52:47  PM|THEFT|18XX  ALA MOANA BLVD|WAIKIKI|District 6
11/21/2024   19:50:45  PM|AUTO THEFT RECOVERY|42XX  WAIALAE AVE|KAIMUKI|District 7
11/21/2024   19:42:12  PM|THEFT|23XX  KALAKAUA AVE|WAIKIKI|District 6
11/21/2024   19:37:42  PM|MISC SERVICE CALL|14XX  PIIKOI ST|MAKIKI|District 1
11/21/2024   19:22:55  PM|FOLLOW UP|21XX  KUHIO AVE|WAIKIKI|District 6
11/21/2024   18:22:58  PM|VEH TOWED|UNIVERSITY AVE / KUILEI ST|MCCULLY|District 7
11/21/2024   17:38:24  PM|UNATTENDED DEATH|7XX  KAMOKU ST|MCCULLY|District 7
