03/18/2025   01:35:24  AM|ALARM CALL|6XX  CORAL ST|HONOLULU|District 1
03/18/2025   01:17:11  AM|WARRANT ARREST|2XX  LEWERS ST|WAIKIKI|District 6
03/18/2025   01:11:37  AM|TRO INITIAL|9501XX  WAIKALANI DR|MILILANI|District 2
03/18/2025   00:49:06  AM|VEH TOWED|MCCULLY ST / KAPIOLANI BLVD|MCCULLY|District 7
03/18/2025   00:43:18  AM|MISC PUB|6807XX  FARRINGTON HWY|WAIALUA|District 2
03/18/2025   00:25:41  AM|ROBBERY|7XX  KUNEHI ST|KAPOLEI|District 8
03/18/2025   00:18:32  AM|WARRANT ARREST|9800XX  LII IPO ST|AIEA|District 3
03/17/2025   23:37:11  PM|TRAFFIC ARREST/CITATION|1XX  H1W FWY|PEARL CITY|District 3
03/17/2025   23:25:17  PM|TRAFFIC ARREST/CITATION|1XX  H1W FWY|PEARL CITY|District 3
03/17/2025   23:07:56  PM|TRAFFIC ARREST/CITATION|1XX  H1E FWY|PEARL CITY|District 3
03/17/2025   22:48:01  PM|MVC VEH TOWED|11XX  KUALA ST|PEARL CITY|District 3
03/17/2025   22:27:03  PM|MVC VEH TOWED|IROQUOIS RD / WEST LOCH DR|EWA BEACH|District 8
03/17/2025   20:59:56  PM|WARRANT ARREST|MAKAHA VALLEY RD / FARRINGTON HWY|MAKAHA|District 8
