11/24/2024   23:28:58  PM|MVC VEH TOWED|1XX  H1W FWY|PEARL CITY|District 3
11/24/2024   23:20:00  PM|MISC SERVICE CALL|32XX  ALA LAULANI|SALT LAKE|District 5
11/24/2024   23:18:13  PM|MISC CRIME OFFENSE|11XX  ALAKEA ST|DOWNTOWN|District 1
11/24/2024   23:12:09  PM|SUSP PERSON|14XX  KEWALO ST|MAKIKI|District 1
11/24/2024   23:09:58  PM|ATTENDED DEATH|20XX  ELUWENE ST|KALIHI|District 5
11/24/2024   23:07:13  PM|ICF/SCF|MAILIILI RD / FARRINGTON HWY|WAIANAE|District 8
11/24/2024   23:06:44  PM|MISC PUB|8510XX  HOOKUIKAHI ST|WAIANAE|District 8
11/24/2024   22:53:22  PM|TRAFFIC ARREST/CITATION|N KUKUI ST / MAUNAKEA ST|DOWNTOWN|District 1
11/24/2024   22:48:42  PM|STALLED/HAZARD VEH|9118XX  FORT WEAVER RD|EWA BEACH|District 8
11/24/2024   22:25:54  PM|AGGRAVATED ASSAULT|13XX  KAPIOLANI BLVD|HONOLULU|District 1
11/24/2024   20:04:13  PM|AUTO THEFT RECOVERY|10XX  PUA LN|KALIHI|District 5
