03/29/2025   19:12:19  PM|STALLED/HAZARD VEH|2XX  H1W FWY|MANOA|District 7
03/29/2025   19:07:37  PM|ICF/SCF|1XX  KAPAHULU AVE|WAIKIKI|District 6
03/29/2025   19:04:46  PM|SIMPLE ASSAULT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/29/2025   18:54:28  PM|MVC|32XX  N NIMITZ HWY|AIRPORT|District 5
03/29/2025   18:50:07  PM|THREATENING|4510XX  KAMAU PL|KANEOHE|District 4
03/29/2025   18:48:35  PM|TRAFFIC STOP|LUSITANA ST / PUNCHBOWL ST|DOWNTOWN|District 1
03/29/2025   18:47:34  PM|THEFT|23XX  KALAKAUA AVE|WAIKIKI|District 6
03/29/2025   18:46:17  PM|VEH TOWED|XX  H1W FWY|WAIPAHU|District 3
03/29/2025   18:42:04  PM|PARKING VIOLATION|KAHEKILI HWY / AHUIMANU RD|KANEOHE|District 4
03/29/2025   18:37:30  PM|PARKING VIOLATION|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
03/29/2025   18:34:51  PM|NOISE COMPLAINT|4505XX  PAHIA RD|KANEOHE|District 4
03/29/2025   18:18:28  PM|PROPERTY DAMAGE|4106XX  PUHA ST|WAIMANALO|District 4
03/29/2025   18:14:19  PM|FAMILY OFF/NEG|2XX  WELA LOOP|JB HICKAM|District 5
03/29/2025   17:59:11  PM|WARRANT ARREST|11XX  S BERETANIA ST|HONOLULU|District 1
03/29/2025   17:16:47  PM|UNATTENDED DEATH|21XX  KALENA DR|KALIHI|District 5
03/29/2025   16:57:28  PM|ARSON|32XX  SALT LAKE BLVD|ALIAMANU|District 5
03/29/2025   16:15:02  PM|VEH TOWED|28XX  MONSARRAT AVE|WAIKIKI|District 6
