01/06/2023   21:12:50  PM|MVC|9407XX  MAKOU PL|WAIPAHU|District 3
01/06/2023   21:11:59  PM|SUSP PERSON|8408XX  HANA ST|MAKAHA|District 8
01/06/2023   21:09:36  PM|TRESPASS|49XX  KAHALA AVE|KAHALA|District 7
01/06/2023   21:09:30  PM|ORDER VIOLATION|4506XX  NAWAHINE LOOP|KANEOHE|District 4
01/06/2023   21:08:32  PM|WEAPONS|44XX  KAPOLEI PKWY|KAPOLEI|District 8
01/06/2023   21:07:43  PM|MEDICAL ASSIST|KAPAHULU AVE / ALA WAI BLVD|WAIKIKI|District 6
01/06/2023   21:05:04  PM|BURGLARY|9100XX  POHAKUPUNA PL|EWA BEACH|District 8
01/06/2023   21:02:25  PM|MISC PUB|6XX  KAPAHULU AVE|KAIMUKI|District 7
01/06/2023   21:00:48  PM|RUNAWAY|8600XX  FARRINGTON HWY|WAIANAE|District 8
01/06/2023   20:58:00  PM|SEX ASSAULT|13XX  PUNCHBOWL ST|HONOLULU|District 1
01/06/2023   20:53:44  PM|IDENTITY THEFT|8XX  S BERETANIA ST|HONOLULU|District 1
01/06/2023   20:51:39  PM|FIREWORKS VIOLATION|5XX  KAWAILOA RD|KAILUA|District 4
01/06/2023   20:48:03  PM|MISC PUB|XX  AKILOLO ST|AINA HAINA|District 7
01/06/2023   20:46:11  PM|THEFT|8XX  S BERETANIA ST|HONOLULU|District 1
01/06/2023   20:44:57  PM|MISC SERVICE CALL|35XX  HARDING AVE|KAIMUKI|District 7
01/06/2023   20:37:37  PM|FOLLOW UP|10XX  WAKEA ST|KAPOLEI|District 8
01/06/2023   20:32:27  PM|THEFT|8XX  S BERETANIA ST|HONOLULU|District 1
01/06/2023   20:23:08  PM|ARGUMENT FAMILY|59XX  GANNET AVE|IROQUOIS|District 8
01/06/2023   20:11:01  PM|PROPERTY DAMAGE|7XX  KAILUA RD|KAILUA|District 4
01/06/2023   19:24:40  PM|SIMPLE ASSAULT|5XX  LUNALILO HOME RD|HAWAII KAI|District 7
01/06/2023   19:04:40  PM|AUTO THEFT RECOVERY|HALA DR / KEOLA ST|KALIHI|District 5
01/06/2023   17:37:50  PM|VEH TOWED|PUPU ST / POHAKUPUNA PL|EWA BEACH|District 8
