02/23/2023   04:10:11  AM|SUSP CIRCUMSTANCE|20XX  S BERETANIA ST|MCCULLY|District 7
02/23/2023   03:53:14  AM|VEH TOWED|KALAKAUA AVE / ENA RD|WAIKIKI|District 6
02/23/2023   03:25:28  AM|WARRANT ARREST|8720XX  FARRINGTON HWY|NANAKULI|District 8
02/23/2023   03:12:50  AM|BURGLARY|29XX  N NIMITZ HWY|AIRPORT|District 5
02/23/2023   03:04:42  AM|AUTO THEFT RECOVERY|KEEAUMOKU ST / WILDER AVE|MAKIKI|District 1
02/23/2023   02:35:55  AM|AUTO THEFT RECOVERY|16XX  LIHOLIHO ST|MAKIKI|District 1
02/23/2023   02:27:52  AM|DUI|S BERETANIA ST / WARD AVE|HONOLULU|District 1
02/23/2023   02:24:10  AM|VEH TOWED|KAM HWY / ACACIA RD|PEARL CITY|District 3
02/23/2023   02:19:06  AM|MISC CRIME OFFENSE|27XX  KALAKAUA AVE|WAIKIKI|District 6
02/23/2023   02:15:39  AM|WARRANT ARREST|25XX  KALAKAUA AVE|WAIKIKI|District 6
02/23/2023   01:56:40  AM|DUI|KAMAKEE ST / KAPIOLANI BLVD|HONOLULU|District 1
02/23/2023   00:49:20  AM|DUI|MAKAALOA ST / AHUUA ST|EWA BEACH|District 8
02/22/2023   22:39:30  PM|DUI|FORT WEAVER RD / LAULAUNUI ST|EWA BEACH|District 8
