07/15/2023   01:11:33  AM|THEFT|15XX  KALAKAUA AVE|HONOLULU|District 1
07/15/2023   01:08:56  AM|MISC SERVICE CALL|8408XX  HANALEI ST|MAKAHA|District 8
07/15/2023   01:06:41  AM|VEH TOWED|9403XX  PUPUKUPA ST|WAIPAHU|District 3
07/15/2023   01:04:45  AM|ARGUMENT|7XX  KIHAPAI PL|KAILUA|District 4
07/15/2023   00:53:36  AM|WARRANT ARREST|KALO PL / VARSITY PL|MCCULLY|District 7
07/15/2023   00:52:26  AM|NUISANCE COMPLAINT|9110XX  HANALOA ST|EWA BEACH|District 8
07/15/2023   00:46:19  AM|SUSP CIRCUMSTANCE|4113XX  WAIKALOA ST|WAIMANALO|District 4
07/15/2023   00:45:47  AM|STALLED/HAZARD VEH|NIMITZ ONTO H1W B554|AIRPORT|District 5
07/15/2023   00:40:15  AM|MVC|20XX  KALAKAUA AVE|WAIKIKI|District 6
07/15/2023   00:37:14  AM|DUI|XX  H1W FWY|KUNIA|District 8
07/15/2023   00:24:41  AM|ARGUMENT FAMILY|9802XX  KAONOHI ST|AIEA|District 3
07/15/2023   00:20:26  AM|MISC PUB|8406XX  LAHAINA ST|MAKAHA|District 8
07/15/2023   00:06:43  AM|AUTO THEFT RECOVERY|18XX  NUUANU AVE|NUUANU|District 5
07/14/2023   23:46:42  PM|AGGRAVATED ASSAULT|9121XX  FORT WEAVER RD|EWA BEACH|District 8
07/14/2023   23:42:05  PM|MVC VEH TOWED|4XX  FARRINGTON HWY|KAPOLEI|District 8
07/14/2023   23:02:21  PM|TRAFFIC ARREST/CITATION|1XX  H1E FWY|AIEA|District 3
07/14/2023   22:10:05  PM|VEH TOWED|OHU ST / KALIHI ST|KALIHI|District 5
07/14/2023   21:41:45  PM|TRAFFIC ARREST/CITATION|H1E AIEA OFF|AIEA|District 3
