09/02/2024   17:12:14  PM|ARGUMENT|KAILUA RD / WANAAO RD|KAILUA|District 4
09/02/2024   17:11:02  PM|PARKING VIOLATION|9113XX  HOOPIO ST|EWA BEACH|District 8
09/02/2024   17:02:53  PM|UEMV|14XX  MAHIOLE ST|MOANALUA V|District 5
09/02/2024   17:01:15  PM|UEMV|16XX  ALA MOANA BLVD|WAIKIKI|District 6
09/02/2024   16:59:37  PM|DROPPED CALL|9906XX  HALAWA DR|AIEA|District 3
09/02/2024   16:45:49  PM|VEH TOWED|MELE ST / HIMENI PL|WAIPIO|District 3
09/02/2024   16:39:43  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
09/02/2024   16:35:01  PM|THREATENING|17XX  WILIKINA DR|WAHIAWA|District 2
09/02/2024   16:22:29  PM|MVC VEH TOWED|9102XX  FORT WEAVER RD|EWA BEACH|District 8
09/02/2024   16:04:12  PM|TRESPASS|14XX  ALA MOANA BLVD|ALA MOANA|District 1
09/02/2024   15:42:51  PM|FOLLOW UP|25XX  KUHIO AVE|WAIKIKI|District 6
09/02/2024   15:02:29  PM|FAMILY OFF/NEG|MAILIILI RD / FARRINGTON HWY|WAIANAE|District 8
09/02/2024   14:58:57  PM|ATTENDED DEATH|3XX  OHUA AVE|WAIKIKI|District 6
09/02/2024   14:19:29  PM|UNATTENDED DEATH|8309XX  FARRINGTON HWY|MAKAHA|District 8
09/01/2024   21:15:54  PM|MISC PUB|20XX  KALIA RD|WAIKIKI|District 6
