02/22/2025   09:13:32  AM|TRESPASS|10XX  MAKOLU ST|PEARL CITY|District 3
02/22/2025   09:12:43  AM|THEFT|18XX  KAPIOLANI BLVD|MCCULLY|District 1
02/22/2025   09:12:40  AM|ARGUMENT|9135XX  KAULUAKOKO ST|EWA BEACH|District 8
02/22/2025   09:09:54  AM|VEH TOWED|4604XX  HAIKU RD|KANEOHE|District 4
02/22/2025   09:09:42  AM|VEH TOWED|13XX  S KING ST|HONOLULU|District 1
02/22/2025   09:03:18  AM|PROPERTY DAMAGE|4XX  LAGOON DR|AIRPORT|District 5
02/22/2025   08:58:17  AM|UNATTENDED DEATH|3XX  MALUNIU AVE|KAILUA|District 4
02/22/2025   08:52:32  AM|PARKING VIOLATION|2XX  NENUE ST|AINA HAINA|District 7
02/22/2025   08:48:59  AM|UEMV|14XX  ALA MOANA BLVD|ALA MOANA|District 1
02/22/2025   08:46:21  AM|NUISANCE COMPLAINT|6802XX  AU ST|MOKULEIA|District 2
02/22/2025   08:45:35  AM|VEH TOWED|6200XX  KAM HWY|HALEIWA|District 2
02/22/2025   08:45:02  AM|MISC CRIME OFFENSE|10XX  SMITH ST|DOWNTOWN|District 1
02/22/2025   08:13:26  AM|MISC PUB|16XX  N SCHOOL ST|KALIHI|District 5
02/22/2025   08:02:57  AM|VEH TOWED|14XX  GREGORY ST|KALIHI|District 5
02/22/2025   07:14:42  AM|AUTO THEFT RECOVERY|9101XX  PAPIPI RD|EWA BEACH|District 8
02/22/2025   07:13:19  AM|VEH TOWED|15XX  BERNICE ST|KALIHI|District 5
02/22/2025   04:09:02  AM|FAMILY OFF/NEG|29XX  KAM HWY|AIRPORT|District 5
